n_samp,kappa,d_effect,method,mean_bias,emp_sd,mean_se,rmse,coverage,active_frac_mean,h_l2_mean,delta_sd,delta_mad,delta_q95,delta_q99,tau_max,l2_rho,l2_M_train,l2_active_train,l2_ok_rate
12000,3.5,1,AIPW,-0.0060113099244079185,0.08070019956712837,0.05796367017634366,0.08084326201212617,0.914,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
12000,3.5,1,Fixed TS-AIPW,-0.0032573970364817096,0.03940889693622661,0.01867345624062452,0.039503995631682,0.668,0.200145,0.3327856937299555,7.778995219614292,2.582922373126448,14.139028852791665,34.243759115151775,0.2,NA,NA,NA,NA
12000,3.5,1,Shrinking quantile TS,-0.0060113099244028375,0.0807001995671282,0.057963670176343685,0.08084326201212563,0.914,0.0019366666666666666,0.02573443538875181,1.0678836809194119e-13,5.472847750039306e-13,7.418749172275504e-13,8.27008104450384e-13,0.2,NA,NA,NA,NA
12000,3.5,1,L2-grid TS (rho=0.05),-0.0031086041319108946,0.04927829964642666,0.040330038012607206,0.04932704667887448,0.878,0.05471616666666667,0.15736890435003906,6.095338114321974,0.8165260544039874,10.63366234982343,30.684162355671067,0.2,0.05,0.018922679625682386,0.054717375,1
12000,3.5,1,L2-grid TS (rho=0.10),-0.002973247822251259,0.048545075938558634,0.039732885476943015,0.04858756375552478,0.878,0.05648966666666667,0.1601152110969403,6.1559569487381465,0.8981061308597216,10.682938061727665,31.210965586718352,0.2,0.1,0.05232938392067129,0.05649570833333333,1
12000,3.5,1,L2-grid TS (rho=0.20),-0.0028598667279612845,0.04797109896078605,0.03887496085950963,0.04800836094407116,0.866,0.059765,0.16509106770720236,6.284005191128606,1.0294487834305737,11.00983306574568,32.27444639926955,0.2,0.2,0.13270759260912193,0.059789375,1
12000,3.5,1,L2-grid TS (rho=0.40),-0.002776355744857218,0.04730606188334542,0.03755151450069671,0.04734021456595952,0.862,0.06597133333333333,0.17419211623823463,6.442442817932886,1.2603701814311603,11.346697367234833,32.58165012542321,0.2,0.4,0.311743380481014,0.06600966666666666,1
500,3.5,2,AIPW,-0.021857076538736555,1.0719926750700373,0.29816519917141626,1.0711431699860796,0.798,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
500,3.5,2,Fixed TS-AIPW,0.008420805115346907,0.2089819393501108,0.11225290191658714,0.20894260942032616,0.708,0.20212,0.33523277514692834,23.572590990706082,0.7192511072123116,12.041482471175602,82.34059630630895,0.2,NA,NA,NA,NA
500,3.5,2,Shrinking quantile TS,-0.021857076535740986,1.0719926750700148,0.2981651991715389,1.071143169985996,0.798,0.020708,0.09406378265733314,3.481746288559835e-11,6.22880231720507e-11,1.2905528271680545e-10,1.5444281893362268e-10,0.2,NA,NA,NA,NA
500,3.5,2,L2-grid TS (rho=0.05),0.010452388070734876,0.21796574407245314,0.13922559231411608,0.21799839420110706,0.758,0.15854000000000001,0.29025703814123816,23.135377115721386,0.428616210494711,11.75141464741915,78.90800324721297,0.2,0.05,0.02071825355808003,0.158483,1
500,3.5,2,L2-grid TS (rho=0.10),0.010738500727923591,0.21757178177942443,0.13819048013481233,0.21761921023683492,0.754,0.16138,0.2932704944098652,23.169125064313192,0.4416708845988485,11.812563640544532,78.9080032472143,0.2,0.1,0.04863398985566741,0.161365,1
