n_samp,kappa,d_effect,method,mean_bias,emp_sd,rmse,coverage,q99_abs_phi_mean,max_abs_phi_median,active_frac_mean,h_l2_mean,delta_sd,delta_mad,delta_q95,delta_q99,tau_max,l2_rho,l2_M_train,l2_active_train,l2_ok_rate
5000,3.5,2,L2-grid TS (rho=0.05),0.03194479336009389,0.6140956192836157,0.6143123575078886,0.718,13.225041189770629,541.4329316521523,0.0063492,0.04893039013629262,11.323437369990137,0.2350904327701686,0.27765126646239957,0.2951121496586669,0.2,0.05,0.046441742623981985,0.0064881,1
5000,3.5,2,L2-grid TS (rho=0.10),-0.022152484498076695,0.32533966537879727,0.32576822841168496,0.726,13.225041189770629,541.4329316521523,0.0236808,0.10024835571479176,38.08230740281542,0.9662836062115214,12.682496321232506,128.06797682459535,0.2,0.1,0.09686133747115538,0.0237489,1
5000,3.5,2,L2-grid TS (rho=0.20),-0.10591107960031856,0.20735678681190306,0.23265425021904954,0.69,13.225041189770629,381.855898906897,0.0660184,0.17511705321144905,45.995501880742495,3.585953013683201,58.92070532731031,186.73936725201003,0.2,0.2,0.17114703197046754,0.0659911,1
5000,3.5,2,L2-grid TS (rho=0.40),-0.12148557421795195,0.21008149895113792,0.2424968298189058,0.592,13.222848185108418,286.9001521823872,0.0771384,0.1903304102041285,46.25966862276522,3.4650577813443615,62.810009247060904,188.18267885818184,0.2,0.4,0.27760305954330666,0.077223,1
12000,3.5,2,AIPW,-0.029014662914092843,0.3064689994904536,0.30753414740057844,0.716,13.073424144754059,957.9858996858695,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
12000,3.5,2,Truncated AIPW,-0.39514663587906607,0.02867782692490808,0.3961838421341334,0,12.959259720329518,86.68798340888412,NA,NA,32.87838219464196,31.938095457381703,103.36193320084575,195.20955417656242,0.2,NA,NA,NA,NA
12000,3.5,2,Fixed TS-AIPW,-0.2606495708789795,0.030389309033987434,0.26241162680558233,0,12.968214455270047,87.30914412414248,0.2004305,0.33292440971716525,32.818359146732966,17.230840860680143,89.3238117781401,180.02250381055723,0.2,NA,NA,NA,NA
12000,3.5,2,Shrinking quantile TS,-0.028039810515729797,0.30647812490796955,0.3074527839177405,0.718,13.073424144754059,957.9858996858695,0.0019475,0.025757943755686918,0.012552744369610154,0.1072680136147229,0.12617650603093222,0.13208919524109947,0.2,NA,NA,NA,NA
12000,3.5,2,L2-grid TS (rho=0.05),-0.02573539144394379,0.30644261297736736,0.3072158382490603,0.722,13.073424144754059,957.9858996858695,0.006203833333333334,0.04837417987993575,0.025807221656612457,0.3577516521300895,0.40120833130283895,0.41005459404591127,0.2,0.05,0.04674533705899636,0.006219166666666666,1
12000,3.5,2,L2-grid TS (rho=0.10),-0.04766237877936936,0.21313086905643638,0.21818712189533646,0.74,13.073424144754059,957.9858996858695,0.023274166666666665,0.09912488402260228,16.432180871108326,1.496020136355084,16.624400820313205,87.731262818424,0.2,0.1,0.0965288282970246,0.023296333333333332,1
12000,3.5,2,L2-grid TS (rho=0.20),-0.08950270155779579,0.18247279497353094,0.20307747745573662,0.654,13.073384421529648,628.8035651333689,0.053232,0.1550199538464014,22.66835912544275,3.7563340824066636,46.25895779911653,113.61019182601453,0.2,0.2,0.15493532660915915,0.053131791666666664,1
12000,3.5,2,L2-grid TS (rho=0.40),-0.09357878397347821,0.18383544002833777,0.20611857481155513,0.618,13.073339164300496,592.0094283863727,0.056343333333333336,0.15965651380527918,22.74512667343128,3.7036444982228147,46.567370014189116,113.724636806088,0.2,0.4,0.24864889428003908,0.05625375,1
500,3.5,4,AIPW,0.23718964557403685,5.435793945445188,5.43553300364108,0.646,28.409247786795234,167.37176503541173,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
500,3.5,4,Truncated AIPW,-0.7731052674179756,0.24436166034520296,0.8107311208495641,0.284,27.94574202132222,89.52881032979961,NA,NA,120.69010838872303,4.722904440712774,55.701416698049826,285.8445066484446,0.2,NA,NA,NA,NA
500,3.5,4,Fixed TS-AIPW,-0.4987138760582666,0.2406249467824061,0.5536245067345447,0.548,27.964840323231446,90.25864570049575,0.203436,0.3361812831225801,120.5774212307558,5.1186595933401335,47.62952591725518,279.25169419525645,0.2,NA,NA,NA,NA
500,3.5,4,Shrinking quantile TS,0.15133421488058865,4.354419079053581,4.35269406570084,0.652,28.409247786795234,167.37176503541173,0.0209,0.09394687219336081,38.81679672066475,0.5306342834121152,0.7122680877134812,0.8363675749426,0.2,NA,NA,NA,NA
500,3.5,4,L2-grid TS (rho=0.05),0.24082710308470534,5.435761036086272,5.435660101490067,0.646,28.409247786795234,167.37176503541173,0.0035080000000000003,0.0339286628994482,0.040761247954650526,0.0725305724454516,0.1574936497804063,0.23045174243997812,0.2,0.05,0.024646450838507576,0.002906,1
500,3.5,4,L2-grid TS (rho=0.10),0.24570559595928962,5.435625113436322,5.435742780242429,0.648,28.409247786795234,167.37176503541173,0.0079,0.055610593723430524,0.05036268432922626,0.18300855725121495,0.2737715498821118,0.35419455160143604,0.2,0.1,0.08715144429665325,0.007978,1
